Date	Ping	Down	Up
20160628 16:30:00	24.141	13.55	15.93
20160628 17:00:00	29.372	18.23	20.61
20160628 17:30:00	44.602	12.48	17.64
20160628 18:00:00	not	configuration:	
20160628 18:30:00	17.458	11.67	19.38
20160628 19:00:00	372.232	3.18	14.73
20160628 19:30:00	538.523	4.22	14.63
20160628 20:00:00	not	configuration:	
20160628 20:30:00	234.857	0.70	8.23
20160628 21:00:00	not	configuration:	
20160628 21:30:00	266.116	0.90	11.18
20160628 22:00:00	20.88	4.58	12.15
20160628 22:30:00	53.792	1.15	11.45
20160628 23:00:00	247.616	2.67	11.78
20160628 23:30:00	27.675	15.70	19.94
20160629 00:00:01	21.965	36.64	24.74
20160629 00:30:00	13.041	67.90	26.27
20160629 01:00:00	13.272	68.11	27.55
20160629 01:30:00	13.111	86.74	28.47
20160629 02:00:00	16.017	93.99	26.21
20160629 02:30:00	12.954	94.08	31.12
20160629 03:00:00	13.452	93.89	28.55
20160629 03:30:00	12.895	93.79	26.28
20160629 04:00:00	12.868	94.08	27.81
20160629 04:30:00	13.309	93.85	27.36
20160629 05:00:00	12.054	94.37	27.57
20160629 05:30:00	13.55	93.98	26.65
20160629 06:00:00	12.659	94.21	27.07
20160629 06:30:00	13.138	93.95	27.86
20160629 07:00:00	13.388	94.12	26.05
20160629 07:30:00	13.189	92.62	25.13
20160629 08:00:00	13.513	91.15	23.88
20160629 08:30:00	12.676	91.14	27.02
20160629 09:00:00	13.722	85.51	26.61
20160629 09:30:00	22.16	35.55	25.09
20160629 10:00:00	13.055	69.03	25.68
20160629 10:30:00	12.866	75.88	26.75
20160629 11:00:00	14.748	72.21	26.25
20160629 11:30:00	30.689	85.50	26.10
20160629 12:00:00	12.829	85.95	27.61
20160629 12:30:00	12.979	71.37	26.01
20160629 13:00:00	not	configuration:	
20160629 13:30:00	13.342	63.98	23.60
20160629 14:00:00	20.384	51.25	19.26
20160629 14:30:00	30.778	11.23	19.63
20160629 15:00:01	108.927	1.66	5.95
20160629 15:30:00	51.591	5.09	14.42
20160629 16:00:00	not	configuration:	
20160629 16:30:00	202.799	13.48	16.20
20160629 17:00:00	21.948	20.06	18.76
20160629 17:30:00	190.372	15.00	25.10
20160629 18:00:00	233.261	22.54	21.54
20160629 18:30:01	39.17	4.77	15.31
20160629 19:00:00	not	configuration:	
20160629 19:30:00	225.351	1.68	14.65
20160629 20:00:00	632.645	3.03	16.33
20160629 20:30:00			
20160629 21:00:00	not	configuration:	
20160629 21:30:00	122.88	1.25	12.69
20160629 22:00:00	372.524	2.96	15.08
20160629 22:30:00	213.133	4.22	13.52
20160629 23:00:00	26.632	9.34	15.07
20160629 23:30:00	23.889	24.91	20.84
20160630 00:00:00	not	configuration:	
20160630 00:30:00	19.24	31.48	17.99
20160630 01:00:00	17.358	56.91	25.03
20160630 01:30:00	12.584	68.22	23.22
20160630 02:00:00	not	configuration:	
20160630 02:30:00	13.737	55.59	27.68
20160630 03:00:00	13.554	73.27	25.93
20160630 03:30:00	12.582	92.49	27.08
20160630 04:00:00	not	configuration:	
20160630 04:30:00	13.2	89.34	26.64
20160630 05:00:00	16.696	85.86	28.70
20160630 05:30:00	13.559	71.76	24.67
20160630 06:00:00	not	configuration:	
20160630 06:30:00	12.771	91.42	26.03
20160630 07:00:00	13.146	78.72	26.24
20160630 07:30:00	13.438	86.99	24.06
20160630 08:00:00	13.724	80.93	28.66
20160630 08:30:00	188.448	55.58	26.15
20160630 09:00:00	20.904	36.50	26.89
20160630 09:30:00	13.768	81.98	18.80
20160630 10:00:00	not	configuration:	[Errno
20160630 10:30:00	9.363	76.86	28.58
20160630 11:00:00	19.681	76.76	26.65
20160630 11:30:00	13.81	83.27	28.91
20160630 12:00:00	21.659	55.09	21.21
20160630 12:30:00	13.41	57.39	23.92
20160630 13:00:00	not	configuration:	
20160630 13:30:00	22.97	28.85	21.65
20160630 14:00:00	not	configuration:	
20160630 14:30:00	18.89	36.88	23.40
20160630 15:00:00	20.858	25.92	17.85
20160630 15:30:00	36.442	5.38	14.32
20160630 16:00:00	23.21	9.18	17.82
20160630 16:30:00	19.764	48.83	19.00
20160630 17:00:00	not	configuration:	
20160630 17:30:00	225.845	9.48	15.84
20160630 18:00:00	not	configuration:	
20160630 18:30:00	204.338	5.23	17.07
20160630 19:00:00	22.114	12.57	13.68
20160630 19:30:00	20.995	7.13	16.80
20160630 20:00:00	248.803	1.31	13.15
20160630 20:30:00	932.082	0.29	3.41
20160630 21:00:00	226.031	0.65	1.78
20160630 21:30:00	25.116	0.65	6.04
20160630 22:00:00	133.509	1.23	6.03
20160630 22:30:00	205.457	3.63	13.19
20160630 23:00:00	not	configuration:	
20160630 23:30:00	189.33	14.20	14.74
20160701 00:00:00	not	configuration:	
20160701 00:30:00	13.386	40.95	26.51
20160701 01:00:00	12.308	87.13	28.10
20160701 01:30:00	12.892	70.29	26.82
20160701 02:00:00	not	configuration:	
20160701 02:30:00	12.863	87.94	29.37
20160701 03:00:00	12.836	94.20	24.91
20160701 03:30:00	12.752	94.44	27.23
20160701 04:00:00	not	configuration:	
20160701 04:30:00	12.645	94.13	27.12
20160701 05:00:00	12.911	94.34	27.32
20160701 05:30:00	12.93	94.08	27.37
20160701 06:00:00	not	configuration:	
20160701 06:30:00	13.431	94.36	27.45
20160701 07:00:00	12.391	93.39	26.17
20160701 07:30:00	12.771	93.88	26.81
20160701 08:00:00	13.269	94.02	28.11
20160701 08:30:00	13.45	91.34	24.73
20160701 09:00:00	12.84	93.33	29.11
20160701 09:30:00	13.087	74.97	23.17
20160701 10:00:00	12.817	70.33	23.80
20160701 10:30:00	13.405	75.49	24.10
20160701 11:00:00	14.013	48.06	22.42
